TITLE,231010-Ru(phen)3-100
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,23/10/10
TIME,13:52:06
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  900.0000
LASTX,  200.0000
NPOINTS,    3501
FIRSTY,     0.00211
MAXY,     1.46183
MINY,     0.00191
XYDATA
730.8000,0.00233875
730.6000,0.00231332
730.4000,0.00228336
730.2000,0.00225554
730.0000,0.00222677
729.8000,0.00220146
729.6000,0.00217585
729.4000,0.00215179
729.2000,0.00213108
729.0000,0.00211251
728.8000,0.00209526
728.6000,0.0020829
728.4000,0.0020718
728.2000,0.0020644
728.0000,0.00205765
727.8000,0.00205742
727.6000,0.00206201
727.4000,0.00206774
727.2000,0.00207902
727.0000,0.00208983
726.8000,0.00210123
726.6000,0.0021115
726.4000,0.00212553
726.2000,0.00213532
726.0000,0.00214343
725.8000,0.00215561
725.6000,0.00216588
725.4000,0.00217662
725.2000,0.00218618
725.0000,0.00219776
724.8000,0.00220969
724.6000,0.00222062
724.4000,0.00222933
724.2000,0.00223811
724.0000,0.00224736
723.8000,0.00225315
723.6000,0.00226115
723.4000,0.00226867
723.2000,0.00227613
723.0000,0.0022836
722.8000,0.00229082
722.6000,0.00229858
722.4000,0.00230598
722.2000,0.00231303
722.0000,0.00231941
721.8000,0.00232592
721.6000,0.0023332
721.4000,0.00233571
721.2000,0.00233702
721.0000,0.00233637
720.8000,0.0023366
720.6000,0.00233756
720.4000,0.00233595
720.2000,0.00233666
720.0000,0.00233511
719.8000,0.00233601
719.6000,0.0023375
719.4000,0.00233535
719.2000,0.00233637
719.0000,0.00233631
718.8000,0.00233834
718.6000,0.00233851
718.4000,0.00233935
718.2000,0.00233893
718.0000,0.00234042
717.8000,0.00233953
717.6000,0.00233887
717.4000,0.00233989
717.2000,0.00233857
717.0000,0.00233893
716.8000,0.00233875
716.6000,0.00233726
716.4000,0.00233708
716.2000,0.00233672
716.0000,0.00233756
715.8000,0.00233887
715.6000,0.00233666
715.4000,0.00233678
715.2000,0.00233296
715.0000,0.00233374
